30.1631 23.8 5.54015
30.7665 23.9 5.65099
31.36 24 5.76
31.9436 24.1 5.86718
32.5171 24.2 5.97254
33.0808 24.3 6.07606
33.6345 24.4 6.17777
34.1784 24.5 6.27766
34.7123 24.6 6.37573
35.2365 24.7 6.472
35.7508 24.8 6.56647
36.2553 24.9 6.65913
36.75 25 6.75
37.235 25.1 6.83908
37.7102 25.2 6.92636
38.1757 25.3 7.01186
38.6314 25.4 7.09555
39.0773 25.5 7.17746
39.5134 25.6 7.25756
39.9398 25.7 7.33587
40.3563 25.8 7.41238
40.7631 25.9 7.48709
41.16 26 7.56
41.5471 26.1 7.63111
41.9245 26.2 7.70041
42.292 26.3 7.76791
42.6497 26.4 7.83361
42.9976 26.5 7.89751
43.3357 26.6 7.95961
43.6639 26.7 8.01991
43.9824 26.8 8.0784
44.2911 26.9 8.1351
44.59 27 8.19
44.8791 27.1 8.2431
45.1584 27.2 8.2944
45.4279 27.3 8.3439
45.6876 27.4 8.3916
45.9375 27.5 8.4375
46.1776 27.6 8.4816
46.4079 27.7 8.5239
46.6284 27.8 8.5644
46.8391 27.9 8.6031
47.04 28 8.64
47.2311 28.1 8.6751
47.4124 28.2 8.7084
47.5839 28.3 8.7399
47.7456 28.4 8.7696
47.8975 28.5 8.7975
48.0396 28.6 8.8236
48.1719 28.7 8.8479
48.2944 28.8 8.8704
48.4071 28.9 8.8911
48.51 29 8.91
48.6031 29.1 8.9271
48.6864 29.2 8.9424
48.7599 29.3 8.9559
48.8236 29.4 8.9676
48.8775 29.5 8.9775
48.9216 29.6 8.9856
48.9559 29.7 8.9919
48.9804 29.8 8.9964
48.9951 29.9 8.9991
49 30 9
48.9951 30.1 8.9991
48.9804 30.2 8.9964
48.9559 30.3 8.9919
48.9216 30.4 8.9856
48.8775 30.5 8.9775
48.8236 30.6 8.9676
48.7599 30.7 8.9559
48.6864 30.8 8.9424
48.6031 30.9 8.9271
48.51 31 8.91
48.4071 31.1 8.8911
48.2944 31.2 8.8704
48.1719 31.3 8.8479
48.0396 31.4 8.8236
47.8975 31.5 8.7975
47.7456 31.6 8.7696
47.5839 31.7 8.7399
47.4124 31.8 8.7084
47.2311 31.9 8.6751
47.04 32 8.64
46.8391 32.1 8.6031
46.6284 32.2 8.5644
46.4079 32.3 8.5239
46.1776 32.4 8.4816
45.9375 32.5 8.4375
45.6876 32.6 8.3916
45.4279 32.7 8.3439
45.1584 32.8 8.2944
44.8791 32.9 8.2431
44.59 33 8.19
44.2911 33.1 8.1351
43.9824 33.2 8.0784
43.6639 33.3 8.01991
43.3357 33.4 7.95961
42.9976 33.5 7.89751
42.6497 33.6 7.83361
42.292 33.7 7.76791
41.9245 33.8 7.70041
41.5471 33.9 7.63111
41.16 34 7.56
40.7631 34.1 7.48709
40.3563 34.2 7.41238
39.9398 34.3 7.33587
39.5134 34.4 7.25756
39.0773 34.5 7.17746
38.6314 34.6 7.09555
38.1757 34.7 7.01186
37.7102 34.8 6.92636
37.235 34.9 6.83908
36.75 35 6.75
36.2553 35.1 6.65913
35.7508 35.2 6.56647
35.2365 35.3 6.472
34.7123 35.4 6.37573
34.1784 35.5 6.27766
33.6345 35.6 6.17777
33.0808 35.7 6.07606
32.5171 35.8 5.97254
31.9436 35.9 5.86718
31.36 36 5.76
30.7665 36.1 5.65099
30.1631 36.2 5.54015
29.5498 36.3 5.42752
28.9269 36.4 5.3131
28.2943 36.5 5.19691
27.6522 36.6 5.07897
27.0006 36.7 4.95929
26.3396 36.8 4.83789
25.6694 36.9 4.71479
24.99 37 4.59
24.3014 37.1 4.46353
23.6034 37.2 4.33532
22.8957 37.3 4.20533
22.1778 37.4 4.07347
21.4495 37.5 3.93971
20.7105 37.6 3.80396
19.9603 37.7 3.66618
19.1988 37.8 3.5263
18.4254 37.9 3.38426
17.64 38 3.24
16.8424 38.1 3.0935
16.0336 38.2 2.94496
15.2149 38.3 2.79458
14.3875 38.4 2.64261
13.5527 38.5 2.48926
12.7116 38.6 2.33478
11.8655 38.7 2.17938
11.0158 38.8 2.0233
10.1635 38.9 1.86677
